State,Dist,Tal
ANDHRA PRADESH,Adilabad,Adilabad
ANDHRA PRADESH,Adilabad,Asifabad 
ANDHRA PRADESH,Adilabad,Bazarhathnoor
ANDHRA PRADESH,Adilabad,Bejjur
ANDHRA PRADESH,Adilabad,Bela
ANDHRA PRADESH,Adilabad,Bellampalle
ANDHRA PRADESH,Adilabad,Bhainsa
ANDHRA PRADESH,Adilabad,Bhimini
ANDHRA PRADESH,Adilabad,Boath
ANDHRA PRADESH,Adilabad,Chennur
ANDHRA PRADESH,Adilabad,Dahegaon
ANDHRA PRADESH,Adilabad,Dandepalle
ANDHRA PRADESH,Adilabad,Dilawarpur
ANDHRA PRADESH,Adilabad,Gudihathnoor
ANDHRA PRADESH,Adilabad,Ichoda
ANDHRA PRADESH,Adilabad,Inderavelly
ANDHRA PRADESH,Adilabad,Jainad
ANDHRA PRADESH,Adilabad,Jainoor
ANDHRA PRADESH,Adilabad,Jannaram
ANDHRA PRADESH,Adilabad,Kaddam (Peddur)
ANDHRA PRADESH,Adilabad,Kagaznagar
ANDHRA PRADESH,Adilabad,Kasipet
ANDHRA PRADESH,Adilabad,Kerameri 
ANDHRA PRADESH,Adilabad,Khanapur
ANDHRA PRADESH,Adilabad,Kotapalle
ANDHRA PRADESH,Adilabad,Kouthala
ANDHRA PRADESH,Adilabad,Kubeer
ANDHRA PRADESH,Adilabad,Kuntala
ANDHRA PRADESH,Adilabad,Laxmanchanda
ANDHRA PRADESH,Adilabad,Lokeswaram
ANDHRA PRADESH,Adilabad,Luxettipet
ANDHRA PRADESH,Adilabad,Mamda
ANDHRA PRADESH,Adilabad,Mancherial
ANDHRA PRADESH,Adilabad,Mandamarri
ANDHRA PRADESH,Adilabad,Mudhole
ANDHRA PRADESH,Adilabad,Narnoor
ANDHRA PRADESH,Adilabad,Nennal
ANDHRA PRADESH,Adilabad,Neradigonda
ANDHRA PRADESH,Adilabad,Nirmal
ANDHRA PRADESH,Adilabad,Rebbana
ANDHRA PRADESH,Adilabad,Sarangapur
ANDHRA PRADESH,Adilabad,Sirpur
ANDHRA PRADESH,Adilabad,Sirpur (T)
ANDHRA PRADESH,Adilabad,Talamadugu
ANDHRA PRADESH,Adilabad,Tamsi
ANDHRA PRADESH,Adilabad,Tandur
ANDHRA PRADESH,Adilabad,Tanoor
ANDHRA PRADESH,Adilabad,Tiryani
ANDHRA PRADESH,Adilabad,Utnoor
ANDHRA PRADESH,Adilabad,Vemanpalle
ANDHRA PRADESH,Adilabad,Wankdi
UTTAR PRADESH,Agra,Agra
UTTAR PRADESH,Agra,Bah
UTTAR PRADESH,Agra,Etmadpur
UTTAR PRADESH,Agra,Kheragarh
UTTAR PRADESH,Agra,Kiraoli
GUJARAT,Ahmadabad,Barwala
GUJARAT,Ahmadabad,Bavla
GUJARAT,Ahmadabad,Daskroi
GUJARAT,Ahmadabad,Detroj-Rampura
GUJARAT,Ahmadabad,Dhandhuka
GUJARAT,Ahmadabad,Dholka
GUJARAT,Ahmadabad,Ranpur
GUJARAT,Ahmadabad,Sanand
GUJARAT,Ahmadabad,Viramgam
Maharashtra,Ahmadnagar,Jamkhed
Maharashtra,Ahmadnagar,Kopargaon
Maharashtra,Ahmadnagar,Nevasa
Maharashtra,Ahmadnagar,Parner
Maharashtra,Ahmadnagar,Pathardi
Maharashtra,Ahmadnagar,Rahta
Maharashtra,Ahmadnagar,Rahuri
Maharashtra,Ahmadnagar,Sangamner
Maharashtra,Ahmadnagar,Shevgaon
Maharashtra,Ahmadnagar,Shrigonda
Maharashtra,Ahmadnagar,Shrirampur
MIZORAM,Aizawl,Aibawk
MIZORAM,Aizawl,Darlawn
MIZORAM,Aizawl,Phullen
MIZORAM,Aizawl,Thingsulthliah (Part)
RAJASTHAN,Ajmer,Ajmer
RAJASTHAN,Ajmer,Beawar
RAJASTHAN,Ajmer,Bhinay
RAJASTHAN,Ajmer,Kekri
RAJASTHAN,Ajmer,Kishangarh
RAJASTHAN,Ajmer,Masuda
RAJASTHAN,Ajmer,Nasirabad
RAJASTHAN,Ajmer,Peesangan
RAJASTHAN,Ajmer,Sarwar
Maharashtra,Akola,Akola
Maharashtra,Akola,Akot
Maharashtra,Akola,Balapur
Maharashtra,Akola,Barshitakli
Maharashtra,Akola,Murtijapur
Maharashtra,Akola,Patur
Maharashtra,Akola,Telhara
KERALA,Alappuzha,Ambalappuzha
KERALA,Alappuzha,Chengannur
KERALA,Alappuzha,Cherthala
KERALA,Alappuzha,Karthikappally
KERALA,Alappuzha,Kuttanad
KERALA,Alappuzha,Mavelikkara
UTTAR PRADESH,Aligarh,Atrauli
UTTAR PRADESH,Aligarh,Gabhana
UTTAR PRADESH,Aligarh,Iglas
UTTAR PRADESH,Aligarh,Khair
UTTAR PRADESH,Aligarh,Koil
MADHYA PRADESH,Alirajpur,Alirajpur
MADHYA PRADESH,Alirajpur,Bhavra
MADHYA PRADESH,Alirajpur,Jobat
UTTAR PRADESH,Allahabad ,Allahabad
UTTAR PRADESH,Allahabad ,Bara  
UTTAR PRADESH,Allahabad ,Handia
UTTAR PRADESH,Allahabad ,Karchhana 
UTTAR PRADESH,Allahabad ,Koraon
UTTAR PRADESH,Allahabad ,Meja
UTTAR PRADESH,Allahabad ,Phulpur 
UTTAR PRADESH,Allahabad ,Soraon
UTTARAKHAND,"Almora
","Almora
"
UTTARAKHAND,"Almora
",Bhanoli
UTTARAKHAND,"Almora
",BHIKIYASAIN
UTTARAKHAND,"Almora
",Chaukhutiya
UTTARAKHAND,"Almora
","Dwarahat
"
UTTARAKHAND,"Almora
",Jainti
UTTARAKHAND,"Almora
",Ranikhet
UTTARAKHAND,"Almora
",Someshwar
UTTARAKHAND,"Almora
",Sult
RAJASTHAN,Alwar,Alwar
RAJASTHAN,Alwar,Bansur
RAJASTHAN,Alwar,Behror
RAJASTHAN,Alwar,Kathumar
RAJASTHAN,Alwar,Kishangarh Bas
RAJASTHAN,Alwar,Kotkasim
RAJASTHAN,Alwar,Lachhmangarh
RAJASTHAN,Alwar,Mandawar
RAJASTHAN,Alwar,Ramgarh
RAJASTHAN,Alwar,Thanagazi
RAJASTHAN,Alwar,Tijara
HARYANA,Ambala,Ambala
HARYANA,Ambala,Barara
HARYANA,Ambala,Naraingarh
UTTAR PRADESH,Ambedkar Nagar,Akbarpur
UTTAR PRADESH,Ambedkar Nagar,Allapur
UTTAR PRADESH,Ambedkar Nagar,Bhiti
UTTAR PRADESH,Ambedkar Nagar,Jalalpur 
Maharashtra,Amravati,Achalpur
Maharashtra,Amravati,Amravati
Maharashtra,Amravati,Anjangaon Surji
Maharashtra,Amravati,Bhatkuli
Maharashtra,Amravati,Chandur Railway
Maharashtra,Amravati,Chandurbazar
Maharashtra,Amravati,Chikhaldara
Maharashtra,Amravati,Daryapur
Maharashtra,Amravati,Dhamangaon Railway
Maharashtra,Amravati,Dharni
Maharashtra,Amravati,Morshi
Maharashtra,Amravati,Nandgaon-Khandeshwar
Maharashtra,Amravati,Teosa
Maharashtra,Amravati,Warud
GUJARAT,Amreli,Amreli
GUJARAT,Amreli,Babra
GUJARAT,Amreli,Bagasara
GUJARAT,Amreli,Jafrabad
GUJARAT,Amreli,Khambha
GUJARAT,Amreli,Kunkavav Vadia
GUJARAT,Amreli,Lathi
GUJARAT,Amreli,Lilia
GUJARAT,Amreli,Rajula
GUJARAT,Amreli,Savar Kundla
Punjab,Amritsar ,Ajnala
Punjab,Amritsar ,Amritsar -I  
Punjab,Amritsar ,Amritsar- II 
Punjab,Amritsar ,Baba Bakala 
